a	anh
nthe	như thế
nthê	như thế
nthế	như thế
ntn	như thế nào
ntnao	như thế nào
ntnày	như thế này
nv	nhân viên
nvay	như vậy
nvậy	như vậy
nvien	nhân viên
nx	nhận xét
ny	người yêu
nyc	người yêu cũ
nyêu	người yêu
ô kê	ổn
od	đặt hàng
oh	ồ
okay	ổn
oke	ổn
okela	ổn
okey	ổn
oki	ổn
okie	ổn
on lai	trực tuyến
onl	online
ord	đặt hàng
oy	rồi
òy	rồi
phog	phong
phòg	phòng
pjt	biết
plz	làm ơn
pn	bạn
qá	quá
qà	quà
qả	quả
qc	quảng cáo
qhe	quan hệ
qhệ	quan hệ
qq	quằn què
qtam	quan tâm
qtâm	quan tâm
qtrọng	quan trọng
quí	quý
r	rồi
răg	răng
rằg	rằng
rì	gì
riêg	riêng
roài	rồi
roi	rồi
roi	rồi
ròi	rồi
ròi	rồi
rùi	rồi
sđt	số điện thoại
secxi	quyến rũ
sexy	quyến rũ
sg	sài gòn
siez	size
sml	sấp mặt
snghĩ	suy nghĩ
snvv	sinh nhật vui vẻ
sốg	sống
sr	xin lỗi
stk	số tài khoản
sub	theo dõi
sviên	sinh viên
sz	kích cỡ
tanks	cảm ơn
tcảm	tình cảm
tđn	thế nào
teencode	ngôn ngữ người trẻ tuổi
terrable	tệ
tgdd	thế giới di động
tgian	thời gian
thằg	thằng
thẳg	thẳng
thàh	thành
thank	cảm ơn
thgian	thời gian
thich	thích
thíck	thích
thik	thích
thík	thích
thìk	thích
thix	thích
thjc	thích
thjk	thích
thôii	thôi
thoy	thôi
thpt	trung học phổ thông
thuchs	thích
thuj	thôi
thươg	thương
thườg	thường
thuơng	thương
thỳ	thì
thým	thím
tiếg	tiếng
tíh	tính
tìh	tình
tk	cảm ơn
tks	cảm ơn
tl	trả lời
tlai	tương lai
tnào	thế nào
tphcm	thành phố hồ chí minh
tq	trung quốc
trag	trang
trc	trước
trể	trễ
trieu	triệu
troai	trai
trog	trong
trọg	trọng
trườg	trường
từg	từng
tưởg	tưởng
tượg	tượng
tyêu	tình yêu
tym	tim
u hai ba	u23
uh	ừ
uhm	ừm
uk	ừ
ukm	ừm
unf	bỏ kết bạn
uốg	uống
vaaải	vải
vc	vợ chồng
vcđ	vãi cả đái
vch	vãi chưởng
vchg	vãi chưởng
vcl	vãi
vd	ví dụ
vđ	vãi đái
vde	vấn đề
vđê	vấn đề
vk	vợ
vn	việt nam
vọg	vọng
vớii	với
vs	với
vv	vui vẻ
wa	quá
wá	quá
wao	tuyệt vời
wào	tuyệt vời
wow	tuyệt vời
wtâm	quan tâm
wtf	cái gì
xg	xuống
xih	xinh
xink	xinh
xl	xin lỗi
xloi	xin lỗi
xog	xong
xug	xùng
xuốg	xuống
ytb	kênh xem
z	vậy
z là	vậy là
zà	già
zạ	vậy
zám	dám
zậy	vậy
zẻ	vẻ
zìa	về
zô	vô
zồi	rồi
zú	vú
zữ	dữ
zui	vui
zùi	rồi
shiper	nhân viên giao hàng
