abbey	tu viện
amore	tình yêu
amount	số tiền
ampenities	quần thể
amply	đủ
amzing	kinh ngạc
an	một
ancent	đi lên
anchovy	cá cơm
ancient	cổ xưa
and	và
ane	một
anemities	tiện nghi
angel	thiên thần
angered	tức giận
angle	góc
angst	sợ
anise	cây hồi
anithyng	bất cứ thứ gì
anjoy	vui mừng
anniversary	ngày kỷ niệm
annnoying	làm phiền
annoyance	khó chịu
annual	hàng năm
anonimous	vô danh
another	khác
answers	câu trả lời
ant	con kiến
antidote	thuốc giải độc
anwe	sợ hãi
any	bất kì
anything	bất cứ thứ gì
anyway	dù sao
anyways	dù sao đi nữa
ao	áo dài
apanda	một con gấu trúc
apartemnts	chung cư
apartment	căn hộ, chung cư
apartments	căn hộ
apologies	lời xin lỗi
app	ứng dụng
appaled	vỗ về
appart	ứng dụng
appartment	căn hộ
appartments	căn hộ
apple	táo
appreaciate	đánh giá
appreciable	đáng trân trọng
appreciation	sự đánh giá
apricot	quả mơ
april	tháng tư
apt	đúng cách
aqua	nước biển
aquaculture	nuôi trồng thủy sản
aquafeed	thức ăn thủy sản
aquarius	bảo bình
arbitrarily	tùy tiện
archer	người bắn cung
are	là
are	chúng tôi
area	khu vực
areas	khu vực
arent	không
arigant	kiêu ngạo
army	quân đội
aroma	hương thơm
aroma	mùi thơm
arpril	tháng tư
arrival	đến
arrive	đến
arrived	đã đến
arriving	đến nơi
arround	vòng vây
art	nghệ thuật
artisan	nghệ nhân
arts	nghệ thuật
asap	càng sớm càng tốt
asia	châu á
asian	châu á
ask	hỏi
asked	yêu cầu
asking	hỏi
assign	chỉ định
assistant	phụ tá
associates	cộng sự
at	tại
atmosphere	không khí
atmostphere	không khí
atosphere	không khí
atrium	tâm nhĩ
atsmosphere	không khí
attached	đính kèm
attendant	người phục vụ
attentiont	chú ý
attentive	niềm nở
attitude	thái độ
attracfion	sự hấp dẫn
aud	thử giọng
auditor	kiểm toán viên
aug	tháng 8
auguest	tháng tám
august	tháng tám
aurora	rạng đông
australia	châu úc
authentic	xác thực
auto	tự động
autumn	mùa thu
avaible	có sẵn
available	có sẵn
avalible	có sẵn
avarage	trung bình cộng
avatar	hình đại diện
average	trung bình cộng
aviod	tránh
avoid	tránh
avos	trái bơ
awaful	kinh khủng
award	giải thưởng
awards	giải thưởng
awared	cảnh giác
aweful	kinh hoàng
awesom	tuyệt vời
awesome	tuyệt vời
awful	kinh khủng
awkward	khó xử
awry	không như ý
awsome	tuyệt vời
azalea	cây đổ quyên
babecue	tiệc nướng ngoài trời
baby	đứa bé
babysister	người trông trẻ
bach	bạch
back	trở lại
backagge	quay ngược lại
backdrop	phông nền
backhome	về nhà
backless	không có lưng
backpacer	tây ba lô
backpacka	ba lô
backpacker	tây ba lô
backpackers	du khách ba lô
backpackerville	ba lô
backpacking	ba lô
backy	trở lại
bad	tệ
badge	huy hiệu
badger	lửng
badroom	phòng xấu
bag	túi
bager	người đóng thùng
bags	túi
baguette	bánh mì dài
baguettes	bánh mì baguette
bakery	cửa hàng bánh mì
balcony	ban công
balloon	quả bóng bay
bamboo	cây tre
bambooforest	rừng tre
ban	lệnh cấm
bana	chuối
banana	trái chuối
bancony	ban công
band	ban nhạc
bandaids	khăn rằn
bang	tiếng nổ
bangalow	nhà gỗ
bangkokian	người bangkok
banh	bánh
bank	ngân hàng
banquet	yến tiệc
banquit	yến tiệc
baquettes	bánh mì baguette
bar	quán ba
barbecue	tiệc nướng ngoài trời
barcode	mã vạch
bare	trần
barefoot	chân trần
barely	vừa đủ
bargain	trả giá
barisra	thợ pha cà phê
barista	thợ pha cà phê
barman	người phục vụ
barroness	nam tước
bartender	người pha chế rượu
bash	bấu víu
basic	căn bản
basil	húng quế
baskin	da bò
bat	con dơi
batender	người pha chế rượu
bath	bồn tắm
bathroom	phòng tắm
bathroon	phòng tắm
bathtub	bồn tắm
batter	bột nhồi
bawdyhouse	nhà bawdyhouse
bay	vịnh
bazaar	chợ
bday	sinh nhật
be	là
beacg	bờ biển
beach	bờ biển
beaches	bãi biển
beachfront	bãi biển
beachfront	bờ biển
beachhouse	nhà ở bờ biển
beachside	bên bờ biển
beakfast	bữa sáng
bean	hạt đậu
bear	chịu
bearable	có thể chịu được
beatiful	đẹp
beatiful	đẹp đẽ
beautifull	xinh đẹp
beautiful	xinh đẹp
beautifull	đẹp đẽ
beautifull	đẹp
beautifully	đẹp đẽ
beautifully	đẹp
beauty	sắc đẹp, vẻ đẹp
beautyful	đẹp đẽ
became	đã trở thành
becareful	hãy cẩn thận
because	bởi vì
become	trở nên
bed	giường
bedbugs	rệp
bedbugs	giường ngủ
bedder	người đi ngủ
beding	đi ngủ
bedlinen	khăn trải giường
bedroom	phòng ngủ
bedrooms	phòng ngủ
beds	giường ngủ
bedsheet	ga trải giường
bedsheets	ga trải giường
bedside	phòng ngủ
beef	thịt bò
been	đã
beep	tiếng kêu bíp
beeping	tiếng bíp
beepub	bíp bíp
beerfresh	bia tươi
beerpong	thùng bia
befast	nhanh lên
befind	tìm kiếm
before	trước
beggining	bắt đầu
behaviors	hành vi cư xử
behome	ở nhà
being	hiện hữu
belive	tin tưởng
bell	chuông
belle	bụng
bellhop	cửa hàng chuông
bellman	người đánh chuông
belly	bụng
belongings	đồ đạc
below	phía dưới
belt	thắt lưng
belw	ợ
benifit	có lợi
beofe	trước
berry	quả mọng
beside	bên cạnh
besides	ngoài ra
bespoke	thiết kế riêng
best	tốt
betel	trầu
better	tốt hơn
between	giữa
beutiful	đẹp
beverage	đồ uống
beware	coi chừng
beware	chăm sóc
beyobd	vượt ra ngoài
beyond	vượt ra ngoài
beyound	vượt ra ngoài
bfast	bữa ăn sáng
bich	bích
bich	bạch dương
bicicles	xe đạp
bicycle	xe đạp
bicylces	xe đạp
bicyle	xe đạp
bidaboard	bảng đấu thầu
bien	biên
bieu	biều
biffet	tiệc đứng
big	lớn
bigbus	xe buýt lớn
biggie	lớn
bigman	người đàn ông to lớn
bikerental	cho thuê xe đạp
bikeride	đạp xe
biketour	chuyến đi bằng xe đạp
bill	hoá đơn
bin	thùng rác
birdhouse	chuồng chim
birding	tiếng chim
birthday	sinh nhật
bistro	quán rượu
bittet	đắng
blacklist	danh sách đen
blare	chói lọi
blaring	bùng nổ
blessing	ban phước
blip	đốm sáng
bliss	phúc lạc
block	khối
bloke	nở hoa
blue	màu xanh da trời
bluebell	chuông xanh
bluelake	hồ xanh
blurb	sự lộn xộn
board	bảng
boardwalk	lối đi lát ván
boat	thuyền
boattour	thuyên du lịch
body	thân hình
boggling	nói dối
bohemien	phóng túng
bol	bu lông
bond	liên kết
bonsai	cây cảnh
bonus	tặng kem
boo	ụt
book	sách
booked	đã đặt trước
booking	đặt trước
bookingservice	dịch vụ đặt chỗ
boom	bùng nổ
bordet	giáp ranh
boss	ông chủ
bossman	ông chủ
bot	người máy
bouique	cửa hàng
bouns	giới hạn
bourbon	rượu whisky ngô
bout	cơn
boutique	cửa hàng
bowls	bát
bowngalows	nhà gỗ
box	cái hộp
boys	những cậu bé
bra	áo lót
brackfast	bữa ăn sáng
braethtaking	ngoạn mục
brainstorming	động não
branch	chi nhánh
brand	nhãn hiệu
brandlaureate	nhãn hiệu
brandy	rượu mạnh
brasserie	quán bia
brdige	cầu
breackfast	bữa ăn sáng
break	phá vỡ
breakfadt	bữa ăn sáng
breakfast	bữa ăn sáng
breakfeat	bữa ăn sáng
breakffast	bữa ăn sáng
breakfirst	đột phá
breakkfast	bữa ăn sáng
breaklfast	bữa ăn sáng
breaksts	bẻ gãy
breaktfast	bữa ăn sáng
breaktime	giờ giải lao
breaky	vỡ
breaky	vỡ vụn
breastfast	thức ăn nhanh
breathtaking	ngoạn mục
brecky	rượu bia
breifs	tóm tắt
brekfast	bữa sáng
brekky	rượu bia
breskfast	bữa ăn sáng
brew	ủ
brick	gạch
bridge	cầu
brie	phô mai mềm của pháp
brige	bờ vực
bright	sáng
brightest	sáng nhất
brillant	rực rỡ
brilliant	xuất sắc
brillient	rực rỡ
brings	mang lại
bro	anh bạn
broad	rộng lớn
broken	bị hỏng
brown	nâu
brownie	bánh hạnh nhân
brunch	bữa sáng muộn
brunch	chiếc
brunch	bữa nửa buổi
bsthroom	phòng tắm
bub	bọt
buck	cái xô
bud	chồi
buddha	đức phật
buddy	bạn bè
budget	ngân sách
buding	chớm nở
buffalo	trâu
buffer	đệm
buffet	tiệc đứng
bufffet	tiệc đứng
buffolo	trâu
bufft	tiệc đứng
bugalow	nhà gỗ
buggy	có lỗi
bugs	lỗi
buiding	xây dựng
buidling	xây dựng
building	xây dựng
built	được xây dựng
bulgalow	nhà gỗ
bull	bò đực
bum	ăn mày
bun	bún
bunaglow	nhà gỗ
bunaglows	nhà gỗ
bunch	bó
bungallow	nhà gỗ
bungalow	nhà gỗ
bungalows	nhà gỗ
bungarlow	nhà gỗ
buon	buôn
burger	bánh mì kẹp thịt
burn	đốt cháy
burrow	hang hốc
bus	xe buýt
bush	cây bụi
buss	hôn
bussy	bận rộn
busy	bận
but	nhưng
butffet	tiệc đứng
butler	quản gia
butter	bơ
butterbeer	bia bơ
bycicle	xe đạp
bycicles	xe đạp
bye	tạm biệt
byes	tạm biệt
cabbie	người lái taxi
cackling	nói nhỏ
cactus	cây xương rồng
cactusrine	cây xương rồng
caf	quán cà phê
cafe	quán cà phê
cafebar	quán cà phê
cagle	ca khúc
cahoots	móc ngoặc
cake	bánh ngọt
calculate	tính toán
calibre	tầm cỡ
call	gọi
called	gọi là
calm	điềm tĩnh
came	đã đến
camel	lạc đà
camellia	hoa trà
camera	máy ảnh
camon	cảm ơn
camping	cắm trại
can	có thể
canal	con kênh
canary	chim hoàng yến
cancel	hủy
canceling	hủy bỏ
candy	kẹo
cannot	không thể
canooing	chèo thuyền
cantho	cần thơ
canyoneering	người đóng hộp
canyouning	đường hầm
cap	mũ lưỡi trai
caprilicious	đáng yêu
caps	mũ lưỡi trai
capsule	viên con nhộng
caption	chú thích
car	xe hơi
card	thẻ
cardinal	hồng y
care	quan tâm
careful	cẩn thận
carefull	chăm sóc đầy đủ
carey	cẩn thận
caring	quan tâm
carry	thực hiện
casas	áo cà sa
case	trường hợp
cash	tiền mặt
cashier	thu ngân
casino	sòng bạc
cassia	trái bả đậu
castaway	người đi thiến
cat	con mèo
catcat	mèo mèo
cathedral	nhà thờ lớn
catheral	ống thông
caveat	cảnh báo trước
caving	hang động
cctv	camera quan sát
cell	ô
celsius	độ c
center	trung tâm
central	trung tâm
centrally	trung ương
centre	trung tâm
century	thế kỷ
ceramics	gốm sứ
certainty	chắc chắn
chagre	sạc điện
chai	cái ghế
chain	chuỗi
cham	chăm
champagne	rượu sâm banh
change	thay đổi
changes	thay đổi
chanh	chánh
charge	sạc điện
charged	tính phí
charging	sạc
charm	quyến rũ
charming	duyên dáng
chat	trò chuyện
chau	châu
cheap	rẻ
cheat	lừa đảo
cheating	gian lận
cheats	gian lận
cheched	đã kiểm tra
check	kiểm tra
checked	đã kiểm tra
checkeout	rô to
checkin	đăng ký vào
checkincheckout	đăng nhập. thoát ra
checking	kiểm tra
checkout	thủ tục thanh toán
cheep	chim kêu
cheeper	chim kêu
cheer	vui lên
cheerful	vui lòng
cheers	chúc mừng
cheetah	con báo
chef	bếp trưởng
chekin	đăng ký vào
chekout	thủ tục thanh toán
cherish	trân trọng
cherry	quả anh đào
cherrys	quả anh đào
chesses	cờ vua
chest	ngực
chiang	tưởng
chic	sang trọng
chicken	thịt gà
chikdren	bọn trẻ
child	đứa trẻ
chili	ớt
chillax	làm lạnh
chillbox	thùng lạnh
chillin	làm lạnh
chilling	rùng mình
chillout	thư giãn
chin	cái cằm
china	trung quốc
chinatown	khu phố tàu
chineese	người trung quốc
chips	khoai tây chiên
chiselling	đục đẽo
chit	chít
chocol	sô cô la
choice	lựa chọn
choice	sự lựa chọn
choices	sự lựa chọn
choicing	sự lựa chọn
choose	chọn
chopsticks	đũa
chose	đã chọn
christian	cơ đốc giáo
christine	nguyên sơ
christmas	giáng sinh
church	nhà thờ
cigarets	thuốc lá
cigarettes	thuốc lá
ciggies	xì gà
cinema	rạp chiếu phim
citadel	thành lũy
cititel	thành phố
city	thành phố
cityit	thành phố
citypoint	điểm thành phố
cityview	cảnh quan thành phố
claim	yêu cầu
claimed	tuyên bố
clam	yên tĩnh
clases	hợp lại
class	lớp học
classic	cổ điển
classy	sang trọng
clay	đất sét
clea	chẻ đôi
cleadly	khôn ngoan
clean	dọn dẹp
cleaned	làm sạch
cleaners	chất tẩy rửa
cleaness	sạch sẽ
cleanstaff	làm sạch
cleen	làm sạch
click	nhấp chuột
cliff	vách đá
cliff	khách hàng
clip	kẹp
close	đóng
closeby	gần đây
closeto	gần với
clostrophobic	nỗi ám ảnh
clothes	quần áo
cloud	đám mây
clouds	mây
cloudy	nhiều mây
clover	cỏ ba lá
clran	dọn dẹp
club	câu lạc bộ
clubhouse	nhà câu lạc bộ
clud	loảng xoảng
clup	tiếng vỗ tay
coacroaches	con gián
coast	bờ biển
coathangers	áo choàng
cob	lõi ngô
cobran	rắn hổ mang
cocacola	cô-ca cô-la
cockerel	gà trống
coco	kén
cocobus	xe buýt
coconut	dừa
cocoon	cái kén
cod	cá tuyết
code	mã
coffe	cà phê
coffee	cà phê
coffeebean	hạt cà phê
cofffee	cà phê
cog	răng cưa
coke	than cốc
cokes	than cốc
collor	người cắt dán
combination	sự phối hợp
combo	bộ_sản_phẩm
come	đến
comeback	sự trở lại
comes	đến
comfertble	thoải mái
comforable	thoải mái
comfortable	thoải mái
comfotable	thoải mái
comfy	thoải mái
coming	sắp tới
coming	đến
comment	bình luận
comofortable	thoải mái
compact	gọn nhẹ
company	công ty
comparison	sự so sánh
compendiuem	bản tóm tắt
compering	so sánh
compfortable	thoải mái
compfty	tài giỏi
complain	than phiền
complained	phàn nàn
complaint	lời phàn nàn
complete	hoàn thành
complex	phức tạp
comportable	có thể so sánh được
computer	máy vi tính
con	con lừa
conceirge	nhân viên hướng dẫn
concept	ý tưởng
concerned	lo âu
concierge	nhân viên hướng dẫn
concierge	người hướng dẫn
condiciona	lời chúc phúc
condicioned	có điều kiện
conditional	có điều kiện
conditioner	dầu xả
conditioning	điều hòa
conditonal	có điều kiện
condo	căn hộ
condos	căn hộ
condote	dẫn lời
condotel	căn hộ du lịch
conect	hình nón
conf	tâm sự
conference	hội nghị
confirm	xác nhận
confirmation	xác nhận
confirmed	đã xác nhận
confort	kết tội
confortable	thoải mái
confortable	có thể kết nối
confortably	thoải mái
confy	hoa giấy
conifer	hạt trần
conkhach	ốc xà cừ
connect	kết nối
connected	kết nối
connection	kết nối
cons	nhược điểm
consept	thông minh
considering	đang cân nhắc
contact	tiếp xúc
container	thùng đựng hàng
containing	chứa đựng
continental	lục địa
continue	tiếp tục
contras	trái ngược
convenience	tiện
conveniences	tiện nghi
convenient	tiện lợi
convention	quy ước
convientely	thuận tiện
convinces	thuyết phục
convinent	tiện lợi
convinience	tiện
conviniently	thuận tiện
coocked	nấu chín
coocking	nấu nướng
cooffe	cà phê
cook	nấu ăn
cooker	nồi cơm điện
cookie	bánh quy
cookies	bánh quy
cooking	nấu nướng
cool	mát mẻ
coop	chuồng ngựa
copped	che đậy
copycats	bắt chước
core	cốt lõi
corkscrew	đồ mở nắp chai
corn	ngô
corner	góc
corny	xưa
corona	hào quang
corral	chuồng ngựa
correct	chính xác
corredor	thợ sửa xe
correos	tương quan
corridor	công ty cổ phần
corse	thô
corteous	nhã nhặn
corteseous	kháu khỉnh
cosmopolitan	khắp thế giới
cosy	ấm cúng
cothe	có thể
cottage	nhà tranh
cottages	trang trại
cotton	chất thun
cotton	bông
cotu	cơtu
could	có thể
couldnt	không thể
count	đếm
counter	quầy tính tiền
counters	quầy giao dịch
couple	cặp đôi
couples	các cặp đôi
coupon	phiếu mua hàng
court	tòa án
coustmer	khách hàng
cousy	anh em họ
coworking	làm việc chung
cozy	ấm cúng
cpmpletely	hoàn toàn
craft	thủ công
cranes	cần cẩu
crap	tào lao
crappy	thèm thuồng
crash	tai nạn
craving	thèm muốn
crawl	thu thập thông tin
crazy	khùng
creak	cót két
creating	tạo ra
crepe	bánh crepe
crepes	bánh crếp
cricket	bóng chày
cristmas	giáng sinh
croak	lạch cạch
crocodile	cá sấu
croissant	bánh sừng bò
crony	nối khố
croplife	cây trồng
crossaint	bánh sừng bò
crown	vương miện
crowning	vương miện
cruis	du thuyền
cruise	du thuyền
cruises	du lịch trên biển
crystal	pha lê
cub	đàn con
cuc	dưa chuột
cuc	cúc
cue	gợi ý
cuing	giám định
culinar	người nói chuyện
culture	văn hóa
cuong	cường
cup	cốc
curt	cộc lốc
customer	khách hàng
customers	khách hàng
cute	dễ thương
cutee	dễ thương
cuteeee	dễ thương
cutlery	dao kéo
dac	đắc
daily	hằng ngày
daisy	hoa cúc
dalat	đà lạt
dam	đầm
dam	đập
damage	hư hại
damg	chết tiệt
damn	chỉ trích
damp	ẩm ướt
danang	đà nẵng
dance	nhảy
dark	tối
date	ngày
day	ngày
days	ngày
daytrippers	ngày của người du ngoạn
ddiscovery	khám phá
deal	thỏa thuận
dealtoday	xử lý ngày hôm nay
dean	trưởng khoa
dearest	thân yêu nhất
deathtrap	cái chết
decanter	bình gạn
december	tháng mười hai
decent	phong nhã
decently	đoan trang
decided	quyết định
deco	trang trí
decorate	trang trí
decorated	trang trí
decoration	trang trí
dedicated	chuyên dụng
deep	sâu
defenetely	chắc chắn
defenetly	chắc chắn
deffinatley	chắc chắn
definate	khử mùi
definatley	chắc chắn
definetely	chắc chắn
definetley	chắc chắn
definitely	định nghĩa
definitley	chắc chắn
defonitely	chắc chắn
delay	sự chậm trễ
deli	cửa hàng thức ăn ngon
deli	đồ nguội
delicious	ngon
deliciuos	thơm ngon
delicous	thơm ngon
delight	hân hoan
delightful	thú vị
delious	mê sảng
delta	đồng bằng
deluxe	sang trọng
demanded	yêu cầu
denmark	đan mạch
denonstrates	minh chứng
department	phòng ban
depoait	tiền gửi
deposit	tiền gửi
desaster	sa mạc
descibe	diễn tả
deserves	xứng đáng
desetved	được yêu thích
desgin	thiết kế
design	thiết kế
designed	thiết kế
designing	thiết kế
desk	bàn
despite	bất chấp
despues	khinh thường
dessole	áo lót
dest	đích
destination	nơi đến
detailed	chi tiết
detox	giải độc
detox	cai nghiện
devine	nuốt chửng
devoted	hết lòng
dew	sương
diamond	kim cương
dicovery	khám phá
didint	không
didn	không
didnt	không
die	chết
dien	điền
diep	điệp
diet	chế độ ăn
different	khác nhau
dificult	khó khăn
digs	đào
dimly	lờ mờ
dine	ăn cơm trưa
dingy	bẩn thỉu
dining	ăn uống
dinner	bữa tối
dinning	ăn tối
dip	nhúng
direct	thẳng thắn
directeur	người trực tiếp
director	giám đốc
dirtiness	bẩn thỉu
dirty	dơ bẩn
disapointed	thất vọng
disapointing	thất vọng
disappointed	thất vọng
disappointing	thất vọng
disapponting	khai thác
disclaimer	khước từ
disco	sàn nhảy
discorvery	khám phá
discount	giảm giá
discover	khám phá
discovery	khám phá
discovey	khám phá
discusting	thảo luận
discutiendo	phản đối
disgusted	tệ
dishing	món ăn
disovery	khám phá
disputable	không thể tranh cãi
disrespected	không tôn trọng
dissapointed	thất vọng
dissapointing	thất vọng
disspointed	thất vọng
district	huyện
distub	làm phiền
distubed	bị làm phiền
ditto	như trên
diving	lặn
division	sự phân chia
do	làm
dod	né tránh
dodgey	né tránh
doenst	không
does	làm
doesnt	không
dog	chó
doing	đang làm
dollar	đô la
domance	thống trị
don	đừng
done	làm xong
dont	không
door	cửa
doorgil	khung cửa
doorgirl	cô gái gác cửa
doorhandle	tay nắm cửa
doorman	người gác cửa
doormen	người gác cửa
dope	gây nghiện
doreamon	đôrêmon
dorm	ký túc xá
dormbeds	giường ngủ tập thể
dormworld	thế giới ký túc xá
dormy	ngủ đông
doting	lẩm cẩm
double	gấp đôi
doughy	nhão nhoét
doule	lừa đảo
down	xuống
downside	nhược điểm
downstair	tầng dưới
downtown	trung tâm thành phố
dragon	rồng
drap	khăn trải giường
drawers	ngăn kéo
dreamers	những người mơ mộng
dreaming	đang mơ
dreams	những giấc mơ
dress	trang phục
drew	đã vẽ
dribbled	rê bóng
drikke	nhỏ giọt
drink	uống
drinkand	uống rượu
drinks	đồ uống
driver	người lái xe
drivermr	người lái xe
drivers	trình điều khiển
drivers	tài xế
drjnk	uống
dryer	máy sấy khô
dthoai	điện thoại
duc	đức
duck	con vịt
dudes	anh chàng
duey	đến hạn
duffle	vải thô
duluxe	sang trọng
dung	phân
dungeon	ngục tối
duoing	bộ đôi
duong	dương
duplex	song công
during	suốt trong
durty	bẩn thỉu
dust	bụi bặm
dusted	phủi bụi
dusty	bụi bặm
duty	nhiệm vụ
duver	thợ lặn
duvet	chăn bông
duyen	duyên
dvd	đĩa dvd
early	sớm
ears	đôi tai
earsy	có tai
earth	trái đất
easier	dễ dàng hơn
east	phía đông
easy	dễ dàng
easygoing	dễ dãi
eat	ăn
eatery	quán ăn
eaxample	thí dụ
ebb	hạ xuống
eccellent	tuyệt vời
ecean	đại dương
ecellent	thông minh
echo	tiếng vang
echoing	tiếng vang
eclipse	nhật thực
eco	sinh thái
ecologic	sinh thái học
ecological	sinh thái
ecspecially	đặc biệt
ect	vân vân
ede	ê đê
eden	vườn địa đàng
edition	phiên bản
eftpose	đa năng
eh	hở
eight	tám
elavator	thang máy
electric	điện
elegance	trang nhã
elegant	thanh lịch
elevator	thang máy
elite	ưu tú
else	khác
emerald	ngọc lục bảo
emotion	cảm xúc
empire	đế chế
emplacement	sự thay thế
employee	nhân viên
emproved	tán thành
empty	trống
emtpy	trống
end	kết thúc
enegergy	năng lượng
engineer	kỹ sư
engish	tiếng anh
englisch	tiếng anh
english	tiếng anh
englisheverything	tiếng anh
enjo	ra lệnh
enjoy	thưởng thức
enjoyable	thú vị
enjoyed	rất thích
enough	đủ
enouh	đủ
ensuite	phòng tắm
ensuites	quần áo
entertaining	giải trí
enthusiam	hăng hái
enthusiasm	hăng hái
enthusiastic	nhiệt tâm
entrace	cuốn theo
entrance	cổng vào
entree	đồng ý
eo	eo ơi
epic	sử thi
episode	tập phim
eqipment	trang thiết bị
equipment	trang thiết bị
er	ờ
escape	bỏ trốn
escapes	chạy trốn
especcialy	đặc biệt
especial	đặc biệt
especially	đặc biệt
especillay	đặc biệt
espessialy	đặc biệt
espresso	cà phê espresso
essence	bản chất
establishment	thành lập
estate	động sản
estuary	cửa sông
etc	vân vân
ethnic	dân tộc
ethusiasim	hăng hái
euthusiastic	nhiệt tâm
evason	bao giờ
even	cũng
evening	tối
event	biến cố
ever	không bao giờ
evergreen	thường xanh
everuthing	mọi điều
every	mỗi
everybody	mọi người
everyday	hằng ngày
everyone	tất cả mọi người
everything	mọi điều
everythink	mọi suy nghĩ
everywhere	mọi nơi
evetything	mọi điều
eveyday	hằng ngày
eveyone	tất cả mọi người
evryday	hằng ngày
ex	ví dụ
excelent	tuyệt vời
excellemt	thông minh
excellences	xuất sắc
excellent	xuất sắc
excellentlent	xuất sắc
exceptional	đặc biệt
exceptionnel	kênh ngoại lệ
exchange	đổi
excilent	đặc biệt
excillent	thông minh
exciting	thú vị
excutive	điều hành
exec	người điều hành
execelent	thông minh
execellent	thông minh
executie	người điều hành
executive	điều hành
exelent	cường tráng
exellent	tuyệt vời
exentent	hiện tại
exepcted	hy vọng
exeptional	đặc biệt
exercise	tập thể dục
exhausted	kiệt sức
exigences	sự xuất hiện
expecially	đặc biệt
expectations	kỳ vọng
expectationsthat	kỳ vọng
expected	hy vọng
exped	thám hiểm
expencive	khai khẩn
expensive	đắt
experiance	kinh nghiệm
experiencd	kinh nghiệm
experience	kinh nghiệm
experienced	có kinh nghiệm
experiences	kinh nghiệm
experiment	thí nghiệm
experince	kinh nghiệm
experirence	kinh nghiệm
expierience	kinh nghiệm
explor	giải thích
exploring	khám phá
express	bày tỏ
expressthanks	bày tỏ sự cảm ơn
exqusite	tinh tế
extend	mở rộng
extra	thêm
extrabed	giường phụ
extreme	cực
extremely	vô cùng
exuses	lời bào chữa
eyes	đôi mắt
fabulious	tuyệt vời
fabulous	tuyệt vời
facelifting	đổi mới
faces	những khuôn mặt
facilities	cơ sở vật chất
facillites	cơ sở vật chất
facillity	cơ sở
fact	thực tế
factory	nhà máy
faff	ngu ngốc
fail	thất bại
failed	thất bại
fairies	tiên nữ
fairy	nàng tiên
fajitas	cà ri
fake	giả mạo
falcility	sự giả dối
falling	rơi
falls	ngã
familia	quen thuộc
familie	gia đình
familly	gia đình
family	gia đình
familydinners	gia đình
familydinners	bữa tiệc gia đình
fammily	gia đình
famous	nổi danh
fan	quạt
fanastic	cuồng tín
fancy	mến
fantastic	tuyệt diệu
farm	nông trại
fascility	cơ sở
fastfood	thức ăn nhanh
fat	mập
fault	lỗi
faulty	bị lỗi
fav	yêu thích
favorite	yêu thích
fax	số fax
fday	thứ hai
feast	tiệc
fee	học phí
feed	cho ăn
feedback	phản hồi
feel	cảm thấy
feeling	cảm giác
feet	đôi chân
felt	cảm thấy
fengshui	phong thủy
feral	hoang dã
ferris	đu quay
festival	lễ hội
ficility	cơ sở
field	cánh đồng
fifteen	mười lăm
fig	quả sung
figured	hình dung
